current;S;L(cat);N;L (mm);W (mm);A (mm);H (mm);H(>5mm);CSF (LxW);CSF (A);CSF(>5mm);CSF(LxW+5mm));D;category;PT;
Center North Atlantic Gyre;21;5mm;59;5,406;2,38;8,176;0,009;0,009;0,002397574;0,003007655;0,002509089;0,002509089;0,935;film;PE;
Center North Atlantic Gyre;21;1mm (AEW);60;3,918;2,353;6,572;0,009;;0,002832404;0,003354669;;0,002832404;0,935;film;PE;
Center North Atlantic Gyre;21;1mm (AEW);61;2,278;1,791;2,495;0,009;;0,004257688;0,005444565;;0,004257688;0,935;film;PE;
Center North Atlantic Gyre;21;1mm (AEW);62;2,67;1,939;3,163;0,009;;0,00377967;0,004835583;;0,00377967;0,935;film;PE;
Center North Atlantic Gyre;21;1mm (AEW);63;3,94;2,318;6,839;1,364;;0,451258936;0,521476017;;0,451258936;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);64;2,278;1,642;2,673;1,184;;0,611968615;0,723924219;;0,611968615;0,875;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);65;1,493;1,194;1,247;0,955;;0,715182335;0,855097465;;0,715182335;0,875;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);66;3,273;2,836;6,015;2,457;;0,806566782;1,001955958;;0,806566782;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);67;2,36;1,642;2,673;1,142;;0,58035232;0,69877092;;0,58035232;0,875;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);68;3,918;2,802;7,596;2,004;;0,604791319;0,727075235;;0,604791319;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);69;3,384;2,945;7,262;2,563;;0,811862379;0,951069209;;0,811862379;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);70;2,752;1,933;3,587;1,358;;0,588674382;0,71688516;;0,588674382;0,875;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);71;2,153;1,54;1,849;1,102;;0,604943809;0,810081952;;0,604943809;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);72;4,274;2,136;6,082;1,068;;0,353305254;0,432857325;;0,353305254;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);73;5,29;2,687;9,267;1,365;;0,362007853;0,448342676;;0,362007853;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);74;5,53;2,388;9,178;1,031;;0,28376824;0,340384274;;0,28376824;0,935;fragment;PE;
