current;S;L(cat);N;L (mm);W (mm);A (mm);H (mm);H(>5mm);category;PT;
Center North Atlantic Gyre;21;0.5mm;105;1,698;1,043;1,335;0,641;;fragment;PP;
Center North Atlantic Gyre;21;0.5mm;106;1,829;0,986;1,268;0,532;;fragment;PP;
Center North Atlantic Gyre;21;0.5mm;107;1,633;1,098;1,309;0,738;;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;108;0,846;0,505;0,315;0,301;;fragment;*PE;
Center North Atlantic Gyre;21;0.5mm;109;1,189;0,968;0,753;0,788;;fragment;*PP;
Center North Atlantic Gyre;21;0.5mm;110;1,766;0,694;0,98;0,009;;film;*PE;
Center North Atlantic Gyre;21;0.5mm;111;2,179;1,32;1,915;0,009;;film;PE;
Center North Atlantic Gyre;21;0.5mm;112;1,29;1,147;1,047;1,02;;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;113;3,014;1,047;2,388;0,364;;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;114;2,552;1,328;2,007;0,009;;film;PE;
Center North Atlantic Gyre;21;0.5mm;115;2,568;1,296;2,727;0,654;;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;116;2,165;1,792;2,593;1,483;;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;117;1,55;1,123;1,102;0,814;;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;118;1,55;1,167;1,353;0,879;;fragment;*undetermined;
Center North Atlantic Gyre;21;0.5mm;119;1,297;0,962;0,822;0,714;;fragment;PP;
Center North Atlantic Gyre;21;0.5mm;120;1,676;1,435;1,554;1,229;;fragment;*PP;
Center North Atlantic Gyre;21;0.5mm;121;1,958;1,004;1,288;0,515;;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;122;2,319;1,109;1,991;0,53;;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;123;1,809;1,205;1,631;0,009;;film;PE;
Center North Atlantic Gyre;21;0.5mm;124;1,337;1,063;1,019;0,009;;film;PP;
Center North Atlantic Gyre;21;0.5mm;125;1,291;0,796;0,749;0,491;;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;126;1,712;1,083;1,244;0,685;;fragment;PP;
Center North Atlantic Gyre;21;0.5mm;127;0,989;0,775;0,507;0,607;;fragment;PP;
Center North Atlantic Gyre;21;0.5mm;128;1,185;0,856;0,637;0,618;;fragment;PP;
Center North Atlantic Gyre;21;5mm;129;7,313;0,83;3,297;0,83;0,25;line;PE;
Center North Atlantic Gyre;21;5mm;130;4,03;0,83;1,582;0,83;0,25;line;PP;
Center North Atlantic Gyre;21;5mm;131;3,134;0,83;0,936;0,83;0,25;line;PE;
Center North Atlantic Gyre;21;5mm;132;33,601;0,83;23,325;0,83;0,25;line;PE;
Center North Atlantic Gyre;21;5mm;133;27,816;0,83;13,408;0,83;0,25;line;PE;
Center North Atlantic Gyre;21;5mm;134;16,098;0,83;9,876;0,83;0,25;line;PE;
Center North Atlantic Gyre;21;5mm;135;6,475;0,83;6,639;0,83;0,25;line;PE;
Center North Atlantic Gyre;21;5mm;136;22,011;0,83;10,959;0,83;0,25;line;PE;
Center North Atlantic Gyre;21;5mm;137;26,734;0,83;17,87;0,83;0,25;line;PE;
Center North Atlantic Gyre;21;5mm;138;19,868;0,83;10,308;0,83;0,25;line;PE;
Center North Atlantic Gyre;21;5mm;139;20,973;0,83;13,296;0,83;0,25;line;PE;
Center North Atlantic Gyre;21;5mm;140;38,256;0,83;22,692;0,83;0,25;line;PE;
Center North Atlantic Gyre;21;5mm;141;8,172;0,83;5,089;0,83;0,25;line;PE;
Center North Atlantic Gyre;21;5mm;142;16,596;0,83;13;0,83;0,25;line;PP;
Center North Atlantic Gyre;21;5mm;143;19,198;0,83;14,84;0,83;0,25;line;PP;
Center North Atlantic Gyre;22;5mm;144;21;13;na;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;5mm;145;9;7,5;na;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;5mm;146;12;10;na;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;5mm;147;8;6;na;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;5mm;148;10;4;na;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;5mm;149;12;7;na;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;5mm;150;8;5;na;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;5mm;151;6;4;na;2,667;1;fragment;PE;
Center North Atlantic Gyre;22;5mm;152;7;7;na;7;3,5;fragment;PE;
Center North Atlantic Gyre;22;5mm;153;10,5;6,5;na;4,024;1;fragment;PE;
Center North Atlantic Gyre;22;5mm;154;17;11;na;7,118;4;fragment;PE;
Center North Atlantic Gyre;22;5mm;155;7;4;na;2,286;1;fragment;PE;
Center North Atlantic Gyre;22;5mm;156;10;9;na;8,1;1;fragment;PE;
Center North Atlantic Gyre;22;5mm;157;6;5;na;4,167;1;fragment;PE;
Center North Atlantic Gyre;22;5mm;158;6,5;4;na;2,462;0,5;fragment;PE;
Center North Atlantic Gyre;22;5mm;159;6;4;na;2,667;1;fragment;PE;
Center North Atlantic Gyre;22;5mm;160;9;6;na;4;2;fragment;PE;
Center North Atlantic Gyre;22;5mm;161;4;4;na;3,2;4;pellet;PE;
Center North Atlantic Gyre;22;5mm;162;7,5;5,5;na;4,033;1;fragment;PE;
Center North Atlantic Gyre;22;5mm;163;6,5;5;na;3,846;1,7;fragment;PE;
Center North Atlantic Gyre;22;5mm;164;8;6;na;4,5;2;fragment;PE;
Center North Atlantic Gyre;22;5mm;165;9;5;na;2,778;2;fragment;PE;
Center North Atlantic Gyre;22;5mm;166;21;10;na;0,009;0,009;film;NIR;
Center North Atlantic Gyre;22;5mm;167;7;7;na;0,009;0,009;film;NIR;
Center North Atlantic Gyre;22;5mm;168;9;7,5;na;6,25;4;fragment;NIR;
Center North Atlantic Gyre;22;5mm;169;6;7;na;8,167;2;fragment;NIR;
Center North Atlantic Gyre;22;5mm;170;16;3;na;0,563;2,5;fragment;NIR;
Center North Atlantic Gyre;22;5mm;171;7;4;na;2,286;0,5;fragment;PP;
Center North Atlantic Gyre;22;5mm;172;9;1,5;na;0,009;0,009;film;PP;
Center North Atlantic Gyre;22;5mm;173;9;3;na;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;5mm;174;8;5;na;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;5mm;175;14;6;na;0,009;0,009;film;PE;
Center North Atlantic Gyre;22;5mm;176;7;4;na;2,286;1;fragment;PP;
Center North Atlantic Gyre;22;5mm;177;9;1,5;na;0,83;0,5;fragment;PE;
Center North Atlantic Gyre;22;5mm;178;6;1;na;0,167;0,5;fragment;PP;
Center North Atlantic Gyre;22;5mm;179;7;1;na;0,143;0,5;fragment;PE;
Center North Atlantic Gyre;22;2mm;180;3,069;2,375;4,827;1,838;;fragment;PE;
