current;S;L(cat);N;L (mm);W (mm);A (mm);H (mm);H(>5mm);category;PT;
Center North Atlantic Gyre;25;0.5mm;4306;1,34;0,802;0,747;0,48;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4307;1,97;1,462;1,967;1,085;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4308;0,985;0,687;0,511;0,479;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4309;1,95;1,353;1,691;0,939;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4310;1,416;1,031;1,036;0,751;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4311;1,557;1,195;1,219;0,917;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4312;1,34;1,031;0,97;0,793;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4313;1,667;1,26;1,337;0,952;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4314;1,179;1,028;0,787;0,896;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4315;1,056;0,877;0,577;0,728;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4316;2,319;1,374;2,098;0,814;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4317;1,34;1,127;1,062;0,948;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4318;1,435;1,053;1,01;0,773;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4319;1,448;1,145;1,141;0,905;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4320;1,627;1,064;1,088;0,696;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4321;1,448;1,127;1,193;0,877;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4322;1,384;0,973;0,813;0,684;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4323;0,978;0,687;0,433;0,483;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4324;1,145;0,871;0,656;0,663;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4325;1,448;0,687;0,564;0,326;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4326;1,435;1,145;1,101;0,914;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4327;1,466;0,891;0,878;0,542;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4328;1,54;1,26;1,337;1,031;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4329;1,792;1,191;1,35;0,792;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4330;1,536;1,374;1,298;1,229;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4331;1,379;1,031;0,918;0,771;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4332;1,536;1,145;1,272;0,854;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4333;1,398;1,053;0,97;0,793;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4334;1,306;0,998;0,8;0,763;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4335;1,789;1,068;1,114;0,638;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4336;1,145;1,024;0,774;0,916;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4337;1,08;0,877;0,577;0,712;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4338;1,024;0,513;0,315;0,837;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4339;1,435;0,973;0,944;0,66;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4340;1,179;0,916;0,774;0,712;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4341;1,878;1,332;1,534;0,945;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4342;1,08;0,81;0,564;0,608;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4343;1,239;1,014;0,813;0,83;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4344;1,056;0,768;0,538;0,559;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4345;1,335;1,031;0,957;0,796;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4346;1,398;1,127;1,088;0,909;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4347;2,828;1,058;1,862;0,396;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4348;1,536;1,123;1,101;0,821;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4349;1,145;1,017;0,708;0,903;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4350;1,651;1;1,101;0,606;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4351;2;0,972;1,285;0,472;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4352;1,233;0,916;0,76;0,68;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4353;1,384;0,916;0,983;0,606;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4354;1,864;1,295;1,665;0,9;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4355;1,448;1,214;1,167;1,018;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4356;1,128;0,916;0,708;0,744;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4357;2,281;1,031;1,39;0,466;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4358;1,379;1,031;1,023;0,771;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4359;1,639;1,213;1,35;0,898;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4360;1,639;1,031;1,285;0,649;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4361;1,536;0,916;1,075;0,546;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4362;2;0,899;1,39;0,404;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4363;1,179;0,871;0,629;0,643;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4364;2,173;0,916;1,573;0,386;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4365;2,415;1,457;2,045;0,879;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4366;1,179;0,916;0,747;0,712;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4367;1,145;0,916;0,76;0,733;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4368;1,145;0,916;0,734;0,733;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4369;1,295;0,869;0,721;0,583;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4370;1,335;1,145;1,062;0,982;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4371;1,134;0,802;0,616;0,567;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4372;1,651;1,134;1,219;0,779;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4373;1,789;1,214;1,586;0,824;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4374;1,416;1,295;1,167;1,184;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4375;1,335;0,891;0,76;0,595;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4376;1,448;0,957;0,983;0,632;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4377;1,667;1,145;1,246;0,786;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4378;1,306;1,014;0,878;0,787;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4379;1,493;1,031;0,905;0,712;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4380;1,239;1,031;0,839;0,858;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4381;1,702;1,025;1,075;0,617;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4382;1,528;1,145;1,285;0,858;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4383;1,335;1,031;0,957;0,796;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4384;1,384;1,214;1,088;1,065;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4385;2,816;1,146;2,124;0,466;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4386;1,627;1,26;1,39;0,976;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4387;1,702;1,159;1,285;0,789;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4388;2,151;1,229;1,757;0,702;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4389;1,195;0,972;0,813;0,791;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4390;1,128;0,916;0,708;0,744;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4391;1,744;1,231;1,39;0,869;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4392;1,306;0,916;0,852;0,642;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4393;1,528;1,031;1,062;0,696;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4394;1,233;0,916;0,813;0,68;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4395;1,398;1,134;0,957;0,92;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4396;1,619;0,922;0,97;0,525;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4397;1,335;0,729;0,59;0,398;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4398;1,557;0,972;1,036;0,607;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4399;1,489;1,26;1,272;1,066;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4400;1,28;0,916;0,905;0,656;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4401;0,978;0,802;0,564;0,658;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4402;1,128;0,802;0,603;0,57;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4403;1,627;0,972;1,062;0,581;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4404;1,335;1,145;1,036;0,982;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4405;1,748;1,26;1,495;0,908;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4406;1,448;0,916;0,957;0,579;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4407;1,536;1,26;1,219;1,034;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4408;1,895;1,415;1,914;1,057;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4409;2,255;1,043;1,757;0,482;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4410;1,306;0,973;0,852;0,725;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4411;0,985;0,802;0,485;0,653;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4412;1,145;0,802;0,629;0,562;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4413;3,352;0,802;2,032;0,192;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4414;1,493;1,158;1,023;0,898;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4415;1,056;0,889;0,59;0,748;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4416;1,557;0,974;1,101;0,609;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4417;1,557;1,145;1,219;0,842;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4418;1,691;0,802;0,983;0,38;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4419;1,28;0,861;0,629;0,579;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4420;1,627;1,213;1,272;0,904;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4421;1,233;0,802;0,747;0,522;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4422;1,384;1,031;0,957;0,768;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4423;1,28;0,916;0,826;0,656;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4424;1,702;1,053;1,206;0,651;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4425;1,233;0,916;0,826;0,68;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4426;1,08;0,891;0,669;0,735;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4427;0,985;0,729;0,459;0,54;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4428;1,943;1,34;1,783;0,924;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4429;1,08;0,894;0,616;0,74;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4430;1,239;1,031;0,878;0,858;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4431;1,557;1,127;1,154;0,816;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4432;1,489;1,145;1,246;0,88;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4433;2,16;1,032;1,482;0,493;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4434;1,233;0,916;0,708;0,68;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4435;1,789;0,891;1,062;0,444;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4436;1,398;1,145;1,049;0,938;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4437;1,691;1,258;1,442;0,936;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4438;0,978;0,81;0,406;0,671;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4439;1,239;0,972;0,76;0,763;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4440;1,691;1,26;1,613;0,939;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4441;1,28;1,145;0,983;1,024;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4442;1,651;1,229;1,219;0,915;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4443;1,489;1,031;1,114;0,714;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4444;2,522;0,865;1,35;0,297;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4445;1,145;0,916;0,669;0,733;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4446;1,81;1,127;1,39;0,702;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4447;1,557;1,322;1,272;1,122;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4448;1,619;1,031;1,101;0,657;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4449;2,039;1,399;1,862;0,96;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4450;1,086;0,87;0,642;0,697;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4451;2,25;1,374;2,072;0,839;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4452;1,489;1,101;1,114;0,814;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4453;2,003;1,127;1,508;0,634;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4454;1,295;1,031;0,774;0,821;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4455;1,233;0,916;0,8;0,68;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4456;1,217;0,916;0,8;0,689;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4457;1,435;1,014;0,957;0,717;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4458;1,335;0,802;0,878;0,482;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4459;1,398;1,122;1,049;0,9;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4460;1,81;1,26;1,35;0,877;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4461;1,239;1,031;0,8;0,858;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4462;1,466;1,031;1,023;0,725;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4463;1,591;1,145;1,259;0,824;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4464;1,792;1,26;1,521;0,886;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4465;2,029;1,031;1,678;0,524;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4466;1,233;1,014;0,852;0,834;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4467;1,435;1,26;1,206;1,106;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4468;1,557;0,802;0,931;0,413;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4469;1,239;1,031;0,839;0,858;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4470;1,591;1,076;1,128;0,728;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4471;2,383;1,218;2,058;0,623;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4472;1,217;1,031;0,826;0,873;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4473;1,335;1,031;0,905;0,796;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4474;2,29;1,303;2,072;0,741;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4475;1,557;1,031;1,206;0,683;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4476;1,591;1,031;1,101;0,668;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4477;1,947;1,129;1,337;0,655;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4478;1,195;0,916;0,734;0,702;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4479;1,145;0,916;0,682;0,733;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4480;1,239;0,891;0,721;0,641;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4481;1,306;0,916;0,852;0,642;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4482;1,591;1,145;1,259;0,824;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4483;1,792;1,374;1,455;1,054;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4484;1,81;1,438;1,796;1,142;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4485;1,595;0,993;1,075;0,618;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4486;1,393;1,024;0,983;0,753;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4487;1,667;0,802;0,983;0,386;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4488;1,195;1,025;0,813;0,879;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4489;1,81;0,891;0,931;0,439;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4490;1,639;1,178;1,403;0,847;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4491;1,557;1,295;1,324;1,077;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4492;1,595;1,145;1,232;0,822;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4493;1,591;0,891;1,036;0,499;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4494;2,335;1,117;1,731;0,534;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4495;1,086;0,687;0,511;0,435;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4496;1,466;1,145;1,049;0,894;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4497;1,145;0,972;0,76;0,825;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4498;1,128;0,687;0,459;0,418;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4499;0,944;0,687;0,433;0,5;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4500;1,957;1,332;1,836;0,907;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4501;1,702;1,25;1,429;0,918;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4502;1,489;1,053;1,036;0,745;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4503;2,29;1,053;1,298;0,484;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4504;1,97;1,028;1,285;0,536;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4505;2,026;1,252;1,429;0,774;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4506;1,195;0,802;0,59;0,538;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4507;1,718;1,348;1,337;1,058;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4508;1,489;0,687;0,603;0,317;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4509;1,493;0,916;0,944;0,562;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4510;1,493;1,213;1,193;0,986;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4511;1,744;1,295;1,547;0,962;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4512;2;1,07;1,613;0,572;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4513;1,595;1,376;1,495;1,187;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4514;1,85;1,489;1,98;1,198;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4515;1,651;1,26;1,56;0,962;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4516;1,335;1,031;0,944;0,796;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4517;1,748;1,26;1,429;0,908;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4518;1,667;1,214;1,285;0,884;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4519;1,195;0,916;0,76;0,702;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4520;1,702;1,26;1,429;0,933;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4521;1,448;1,031;1,049;0,734;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4522;1,557;0,885;0,852;0,503;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4523;1,179;0,802;0,682;0,546;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4524;1,384;0,802;0,852;0,465;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4525;1,435;1,076;1,062;0,807;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4526;1,864;1,389;1,875;1,035;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4527;2,064;1,057;1,364;0,541;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4528;1,448;1,145;1,141;0,905;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4529;1,639;1,189;1,246;0,863;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4530;1,54;1,031;1,062;0,69;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4531;1,398;1,031;0,931;0,76;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4532;1,306;1,031;0,944;0,814;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4533;0,872;0,573;0,393;0,377;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4534;1,493;1,127;1,154;0,851;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4535;2,211;1,718;2,57;1,335;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4536;1,557;1,127;1,141;0,816;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4537;2,039;1,489;1,796;1,087;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4538;1,493;1,25;1,337;1,047;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4539;1,591;1,145;1,377;0,824;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4540;1,34;1,229;1,167;1,127;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4541;1,639;1,023;1,154;0,639;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4542;1,466;1,145;1,193;0,894;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4543;1,591;1,038;1,101;0,677;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4544;2,16;1,14;1,704;0,602;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4545;2,273;1,43;1,98;0,9;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4546;1,024;0,916;0,629;0,819;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4547;1,335;1,031;0,97;0,796;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4548;2,795;1,667;2,766;0,994;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4549;1,595;1,145;1,193;0,822;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4550;1,233;0,916;0,826;0,68;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4551;2,415;1,588;2,386;1,044;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4552;2,788;1,489;2,819;0,795;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4553;1,667;1,272;1,521;0,971;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4554;2,003;1,489;2,019;1,107;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4555;2,16;1,434;2,111;0,952;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4556;1,306;1,031;0,983;0,814;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4557;1,379;0,833;0,84;0,503;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4558;1,417;0,917;0,646;0,593;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4559;1,318;1;0,958;0,759;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4560;1,357;1,083;1,104;0,864;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4561;1,502;1,002;0,868;0,668;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4562;1,734;0,996;1,292;0,572;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4563;1,239;1,081;0,917;0,943;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4564;1,374;0,825;0,861;0,495;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4565;1,379;1,083;1,111;0,851;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4566;1,133;0,825;0,625;0,601;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4567;1,118;0,586;0,444;0,307;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4568;1,118;0,833;0,681;0,621;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4569;1,502;1,083;1,111;0,781;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4570;1,458;1,006;1,076;0,694;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4571;1,344;0,917;0,764;0,626;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4572;1,318;0,766;0,722;0,445;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4573;1,379;0,969;0,91;0,681;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4574;1,112;0,833;0,451;0,624;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4575;1,367;1,167;1,139;0,996;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4576;1,367;0,943;0,875;0,651;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4577;1,439;1,167;1,25;0,946;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4578;1,66;1,333;1,569;1,07;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4579;2,187;0,9;1,257;0,37;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4580;1,502;0,943;1,007;0,592;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4581;1,357;0,917;0,91;0,62;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4582;1,603;1,083;1,097;0,732;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4583;1,53;1,031;1,153;0,695;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4584;1,272;1,167;0,972;1,071;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4585;1,718;1,333;1,812;1,034;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4586;0,901;0,667;0,451;0,494;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4587;0,901;0,586;0,34;0,381;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4588;1,044;0,817;0,507;0,639;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4589;1,318;0,917;0,903;0,638;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4590;1,202;0,917;0,847;0,7;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4591;1,484;1,006;1,056;0,682;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4592;1,087;0,833;0,653;0,638;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4593;1,387;1;1,007;0,721;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4594;1,193;1;0,84;0,838;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4595;1,572;1,111;1,09;0,785;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4596;1,193;0,808;0,597;0,547;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4597;1,161;1;0,833;0,861;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4598;1,758;1,305;1,653;0,969;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4599;1,083;0,833;0,667;0,641;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4600;1,304;0,809;0,722;0,502;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4601;1,25;1,083;0,91;0,938;;fragment;;
Center North Atlantic Gyre;25;0.5mm;4602;1,74;0,904;0,986;0,47;;fragment;;
