current,S,,N,L (mm),W (mm),A (mm),H (mm),H(>5mm),CSF (LxW),CSF (A),CSF(>5mm),D,category,PT,,,,,MATERIAAL OPTIES,,,,ANTWOORD OPTIES,,,POLYMER OPTIES,
Center North Atlantic Gyre,25,,2740,3.304,2.884,6.846,2.517,,0.815516638,0.962126166,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2741,3.457,2.385,6.189,1.645,,0.57303811,0.661404501,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2742,4.095,2.769,7.976,1.872,,0.55603685,0.662978482,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2743,3.180,2.274,4.817,1.626,,0.60470702,0.740910036,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2744,2.945,2.305,4.473,1.804,,0.692434098,0.85301587,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2745,3.994,2.783,7.118,1.939,,0.581644624,0.726840905,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2746,5.481,3.616,14.663,2.386,,0.535861962,0.622996525,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2747,4.248,2.537,8.172,1.515,,0.461534254,0.530019987,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2748,4.043,3.132,8.178,2.426,,0.681831432,0.848430383,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2749,4.405,3.260,8.692,2.413,,0.63665995,0.818331801,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2750,3.569,2.606,6.491,1.903,,0.623938515,0.746872502,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2751,4.586,2.695,7.805,1.584,,0.450491996,0.566887701,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2752,3.351,2.494,5.538,1.856,,0.642070966,0.788754763,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2753,3.858,2.593,6.515,1.743,,0.551011217,0.68278756,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2754,3.989,2.728,7.207,1.866,,0.565549333,0.6949402,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2755,4.287,2.762,7.692,1.779,,0.517136612,0.641614584,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2756,4.414,3.487,10.450,2.755,,0.702149236,0.852144844,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2757,3.712,2.818,7.166,2.139,,0.661453824,0.799163441,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2758,4.986,4.149,13.367,3.453,,0.759078588,0.944316594,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2759,6.046,3.518,13.065,2.047,,0.443855431,0.566329025,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2760,2.390,1.878,3.118,1.476,,0.696540752,0.83570927,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2761,2.463,1.741,3.006,1.231,,0.594294264,0.709804327,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2762,2.880,2.154,4.213,1.611,,0.646814604,0.784879852,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2763,3.832,2.122,5.231,1.175,,0.41207837,0.513774918,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2764,4.982,2.692,9.935,1.455,,0.39719795,0.461490167,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2765,2.557,1.632,2.899,1.042,,0.509898976,0.611766192,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2766,4.083,2.707,6.497,1.795,,0.539837828,0.704110301,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2767,5.105,2.569,8.680,1.293,,0.356987111,0.438806043,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2768,3.855,3.154,8.633,2.580,,0.740041304,0.878249933,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2769,5.607,3.657,13.574,2.385,,0.526734308,0.647389188,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2770,3.900,2.678,6.976,1.839,,0.569008755,0.696230913,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2771,5.779,3.692,14.444,2.359,,0.510638431,0.620621691,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2772,3.221,2.696,6.124,2.257,,0.765761882,0.911866918,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2773,3.699,2.902,6.781,2.277,,0.694895685,0.87430631,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2774,3.806,2.921,6.882,2.242,,0.672348065,0.85454905,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2775,2.969,2.144,4.568,1.548,,0.613651606,0.724396456,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2776,4.089,1.731,4.811,0.733,,0.275435514,0.334086823,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2777,3.923,2.146,6.586,1.174,,0.404591835,0.457435919,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2778,4.325,1.462,4.769,0.494,,0.1965359,0.226305429,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2779,4.105,3.298,8.456,2.650,,0.720122258,0.911183096,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2780,4.208,2.800,6.840,1.863,,0.542779517,0.712380923,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2781,2.796,1.462,3.379,0.764,,0.378107514,0.41587564,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2782,4.405,2.769,7.876,1.741,,0.49838569,0.620221968,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2783,4.472,3.135,8.260,2.198,,0.586953404,0.764686234,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2784,3.931,2.656,8.148,1.795,,0.555376553,0.628677022,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2785,4.203,3.308,9.053,2.604,,0.698247141,0.86531723,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2786,3.265,2.846,6.254,2.481,,0.813818513,0.991990853,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2787,4.112,3.396,9.651,2.805,,0.750536579,0.902809456,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2788,3.427,2.445,6.166,1.744,,0.602624992,0.702492776,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2789,3.096,2.464,5.716,1.961,,0.71000209,0.820227536,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2790,3.579,3.079,8.118,2.649,,0.797943214,0.929679289,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2791,4.016,2.524,7.444,1.586,,0.498245597,0.581409086,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2792,3.529,2.261,5.414,1.449,,0.512829921,0.622573084,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2793,3.597,2.626,5.692,1.917,,0.623779971,0.803556762,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2794,3.444,2.150,4.314,0.009,,0.003160441,0.004140553,,0.875,film,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2795,3.974,2.247,6.497,1.271,,0.425170197,0.498450285,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2796,4.590,2.944,9.888,1.888,,0.513674114,0.600494034,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2797,4.149,3.065,9.533,2.264,,0.634936898,0.733335529,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2798,3.583,2.899,7.775,2.346,,0.727783342,0.841200309,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2799,5.262,3.190,12.544,1.934,,0.472019303,0.546024965,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2800,3.400,2.385,5.024,1.673,,0.587508561,0.746402412,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2801,3.222,1.995,4.769,1.235,,0.487221053,0.565648452,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2802,3.016,2.395,5.059,1.902,,0.707638203,0.845565702,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2803,2.944,1.846,3.769,1.158,,0.496524676,0.596228208,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2804,2.353,1.385,2.402,0.815,,0.451587352,0.526006509,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2805,4.446,2.846,8.811,1.822,,0.512151155,0.613744669,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2806,4.147,3.027,7.503,2.209,,0.623616473,0.806628074,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2807,3.788,2.516,5.811,1.671,,0.541316169,0.693243595,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2808,3.245,2.062,4.473,1.310,,0.506536727,0.619531184,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2809,4.224,2.878,8.604,1.961,,0.562406485,0.668509324,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2810,4.336,2.991,8.503,2.063,,0.572915681,0.707550534,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2811,3.674,2.631,7.337,1.884,,0.605999888,0.695573911,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2812,3.628,2.231,6.154,1.372,,0.482223574,0.553035635,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2813,5.774,2.538,8.349,1.116,,0.291421948,0.386090598,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2814,3.863,2.535,6.751,1.664,,0.531593771,0.64024643,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2815,3.960,2.385,5.982,1.436,,0.467401171,0.587297803,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2816,6.063,2.850,9.225,0.009,,0.002068865,0.002831492,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,2mm(rest),2817,2.552,1.889,3.018,1.398,,0.636835012,0.804866086,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2818,2.274,1.746,2.723,1.341,,0.672791767,0.812408012,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2819,1.894,1.583,1.857,1.323,,0.76410213,0.970903135,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2820,2.995,1.332,2.459,0.592,,0.296593137,0.377774256,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2821,2.080,1.488,2.005,0.009,,0.004888384,0.006073531,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2822,1.773,1.130,1.383,0.720,,0.508808739,0.61240265,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2823,2.206,1.475,2.153,0.986,,0.54673864,0.67213501,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2824,1.794,1.233,1.572,0.847,,0.569784928,0.675892214,,na,fragment,*PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2825,2.841,1.973,3.852,1.370,,0.57874037,0.698135621,,1.07,fragment,PS,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2826,3.106,1.657,3.525,0.884,,0.389656195,0.470829867,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2827,2.599,1.743,2.934,1.169,,0.549207756,0.682430518,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2828,3.514,2.068,5.330,1.217,,0.451464042,0.527151816,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2829,2.435,1.792,2.733,1.319,,0.6313331,0.797732396,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2830,2.407,1.689,2.934,1.185,,0.587801025,0.691915651,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2831,2.281,1.641,2.185,1.181,,0.61020385,0.798667765,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2832,2.118,1.797,2.607,1.525,,0.781507557,0.94427759,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2833,2.347,1.499,2.396,0.957,,0.510426031,0.618510062,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2834,4.750,3.963,13.044,0.009,,0.001982164,0.002381185,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2835,5.538,3.126,10.364,0.009,,0.002066938,0.002671374,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2836,4.651,2.598,9.382,0.009,,0.002474034,0.0028077,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2837,4.029,3.150,8.411,0.009,,0.00241404,0.002965341,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2838,5.437,3.084,11.092,0.009,,0.002100205,0.002582222,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2839,3.724,2.812,7.820,0.009,,0.002657578,0.003075354,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2840,3.996,3.054,6.015,0.009,,0.002461791,0.003506555,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2841,4.361,3.135,9.150,0.009,,0.002325876,0.002843072,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2842,3.812,2.358,5.213,0.009,,0.002868469,0.003766644,,na,film,*PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2843,5.449,3.185,11.968,0.009,,0.002064359,0.002485923,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2844,4.227,3.190,9.108,0.009,,0.002342001,0.00284962,,na,film,*PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2845,7.865,4.613,23.671,0.009,,0.001427767,0.001767625,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2846,2.651,1.761,2.765,0.009,,0.003980283,0.005171909,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2847,3.912,2.394,6.269,0.009,,0.002810198,0.003434783,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2848,4.646,3.783,11.092,0.009,,0.002051354,0.002582222,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2849,3.392,1.773,4.200,0.009,,0.003506842,0.00419637,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2850,6.730,3.577,12.506,0.009,,0.001752796,0.002431864,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2851,5.506,3.319,11.472,0.009,,0.002011763,0.002539095,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2852,5.883,3.226,13.350,0.009,,0.00197409,0.002353736,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2853,6.195,3.097,10.300,0.009,,0.001963393,0.002679661,,na,film,*OM,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2854,5.055,3.390,10.659,0.009,,0.002077486,0.002634148,,na,film,*undetermined polymer,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2855,5.137,3.864,13.804,0.009,,0.001930301,0.002314707,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2856,2.435,1.737,2.881,0.009,,0.004181663,0.005066719,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2857,1.984,1.604,1.995,1.297,,0.72693243,0.918111886,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2858,1.710,1.396,1.625,1.140,,0.737622171,0.894021666,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2859,1.672,1.430,1.615,1.223,,0.790951122,0.962386536,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2860,1.973,1.582,1.973,1.268,,0.71799115,0.903071903,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2861,1.767,1.335,1.583,1.009,,0.656700088,0.801651343,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2862,1.527,1.335,1.309,1.167,,0.817454037,1.020125658,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2863,2.218,1.271,2.026,0.728,,0.433786481,0.511693428,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2864,1.710,1.287,1.393,0.969,,0.652940571,0.820701874,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2865,15.335,0.250,12.949,0.250,,0.127681541,0.069473934,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2866,6.608,0.250,6.195,0.250,,0.194506889,0.100442925,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2867,9.148,0.250,5.150,0.250,,0.165312969,0.110163162,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2868,10.641,0.250,6.258,0.250,,0.153277632,0.099936061,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2869,5.743,0.250,3.673,0.250,,0.208641452,0.130445633,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,2mm(AEW),2870,6.676,4.985,20.723,3.722,,0.645242926,0.817688112,,na,fragment,undetermined,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2871,5.952,5.004,17.893,4.207,,0.770870751,0.994557962,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2872,5.221,4.238,14.807,3.440,,0.73132579,0.893994143,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2873,5.263,4.245,13.493,3.424,,0.72438006,0.93211127,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2874,5.191,4.459,14.862,3.830,,0.796122073,0.993539842,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2875,5.862,4.819,20.632,3.962,,0.745361005,0.872162428,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2876,6.709,4.060,17.583,2.457,,0.470763044,0.585932769,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2877,5.784,4.537,14.497,3.559,,0.694721505,0.934695614,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2878,6.002,4.324,16.012,3.115,,0.611483216,0.778489194,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2879,6.199,4.054,16.834,2.651,,0.528862973,0.646178034,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2880,4.432,3.919,12.781,3.465,,0.831501942,0.969322643,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2881,4.777,3.957,11.813,3.278,,0.753904288,0.953667005,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2882,6.154,4.538,18.24,3.346,,0.633228568,0.783536215,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2883,6.531,4.583,20.029,3.216,,0.587834756,0.718605269,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2884,4.752,3.555,12.215,2.660,,0.647060307,0.760949862,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2885,5.565,3.757,12.854,2.536,,0.554707502,0.707453784,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2886,5.683,4.643,17.199,3.793,,0.738467763,0.914677746,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2887,5.200,4.100,13.73,3.233,,0.700117236,0.872427007,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2888,6.949,5.343,24.119,4.108,,0.674208609,0.836504705,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2889,5.620,4.299,17.09,3.289,,0.669031697,0.795476846,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2890,5.016,3.712,13.31,2.747,,0.63661323,0.752955621,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2891,5.623,4.616,15.739,3.789,,0.74378356,0.95515741,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2892,5.623,4.565,17.747,3.706,,0.731491102,0.879733248,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2893,4.972,4.054,14.552,3.305,,0.736256152,0.866512886,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2894,6.043,4.729,18.715,3.701,,0.692269312,0.855443081,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,,9.436,5.625,33.686,3.353,,0.460258579,0.57773995,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2897,5.395,3.592,12.087,2.392,,0.543271995,0.687894672,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2898,5.834,3.861,15.209,2.555,,0.538393819,0.655213517,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2899,4.706,3.336,11.028,2.365,,0.596844476,0.712117703,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2900,5.145,3.243,11.685,2.044,,0.500428868,0.597990328,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2901,6.002,5.104,20.887,4.340,,0.784191286,0.9497019,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2902,6.476,4.291,18.349,0.009,,0.00163142,0.00200767,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2903,7.900,2.882,12.89,0.009,,0.001802345,0.002395367,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2904,8.720,3.377,10.772,0.009,,0.001584801,0.002620296,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2905,8.162,6.756,30.71,5.592,,0.753077333,1.009119929,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2906,7.384,5.466,20.613,4.046,,0.636893636,0.891203668,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2907,5.566,4.118,16.177,3.047,,0.636377345,0.757496255,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2908,6.459,3.514,10.334,1.912,,0.401286647,0.594708302,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2909,4.881,3.517,13.164,2.534,,0.611639241,0.698460728,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2910,5.565,4.594,17.966,3.792,,0.75004744,0.894728179,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2911,4.844,4.175,13.621,3.598,,0.800163097,0.974999356,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2912,5.086,3.925,14.132,3.029,,0.677945774,0.805751554,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2913,6.281,4.631,19.116,3.414,,0.633095143,0.780948253,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2914,5.447,4.631,15.885,3.937,,0.783927877,0.987867226,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2915,4.834,3.897,13.109,3.142,,0.723828434,0.867699573,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2916,5.395,4.453,13.949,3.675,,0.74988017,0.984107188,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2917,6.248,4.263,16.396,2.909,,0.56358765,0.718324517,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2918,5.325,4.144,14.26,3.225,,0.686515271,0.85400442,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2919,5.405,4.520,24.722,3.780,,0.764740525,0.760220139,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2920,6.778,5.430,17.254,4.350,,0.717046628,1.047256821,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2921,6.299,4.747,27.533,3.577,,0.654216412,0.681773455,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2922,7.432,5.477,21.727,4.036,,0.632638416,0.865924243,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2923,8.633,4.949,13.182,2.837,,0.434043812,0.781416384,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2924,4.793,3.550,13.968,2.629,,0.637428366,0.703529259,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2925,5.258,3.901,17.856,2.894,,0.639047371,0.684919026,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2926,6.409,3.925,19.701,2.404,,0.479263201,0.541557924,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2927,6.903,4.935,17.455,0.009,,0.001473452,0.002058441,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2928,5.867,4.421,8.18,3.331,,0.654118813,1.16479176,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2929,5.277,4.294,12.379,0.009,,0.001806649,0.002444307,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2930,5.447,3.253,17.491,1.943,,0.461519475,0.464518945,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,25,,2931,5.099,4.109,13.748,3.311,,0.723396984,0.893033003,,0.935,fragment,PE,,,,,,,,,,,,,
