current,S,,N,L (mm),W (mm),A (mm),H (mm),H(>5mm),CSF (LxW),CSF (A),CSF(>5mm),D,category,PT,,,,,MATERIAAL OPTIES,,,,ANTWOORD OPTIES,,,POLYMER OPTIES,
Center North Atlantic Gyre,21,,85,3.940,2.318,6.839,1.364,,0.451258936,0.521476017,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,86,2.278,1.642,2.673,1.184,,0.611968615,0.723924219,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,87,1.493,1.194,1.247,0.955,,0.715182335,0.855097465,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,88,3.273,2.836,6.015,2.457,,0.806566782,1.001955958,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,89,2.360,1.642,2.673,1.142,,0.58035232,0.69877092,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,90,3.918,2.802,7.596,2.004,,0.604791319,0.727075235,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,91,3.384,2.945,7.262,2.563,,0.811862379,0.951069209,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,92,2.752,1.933,3.587,1.358,,0.588674382,0.71688516,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,93,2.153,1.540,1.849,1.102,,0.604943809,0.810081952,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,94,4.274,2.136,6.082,1.068,,0.353305254,0.432857325,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,95,5.290,2.687,9.267,1.365,,0.362007853,0.448342676,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,96,5.530,2.388,9.178,1.031,,0.28376824,0.340384274,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,97,3.354,2.431,5.302,1.762,,0.617067752,0.765221208,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,98,4.060,2.348,6.861,1.358,,0.4398029,0.518413666,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,99,3.077,2.388,4.634,1.853,,0.683691592,0.860920668,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,100,2.691,1.642,3.163,1.002,,0.47663857,0.563356114,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,101,3.983,2.687,7.619,1.813,,0.554097308,0.656713644,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,102,3.692,2.239,5.369,1.358,,0.472268089,0.586002937,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,103,6.154,2.789,12.341,1.264,,0.305096014,0.359802652,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,104,3.022,2.027,4.010,1.360,,0.549337103,0.678954781,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,105,3.337,2.577,5.324,1.990,,0.678636662,0.862489084,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,106,4.139,2.914,8.242,2.052,,0.590732931,0.71460716,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,107,5.425,2.290,8.599,0.967,,0.274254404,0.329645573,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,108,3.695,2.491,5.681,1.679,,0.55352715,0.704564274,,0.875,fragment,PP,,,,,,,,,,,,,
