"current","sample","length","width","height_est","height_obs","category","poly_type","Two_dim","Film","Line"
"Center North Atlantic Gyre",29,5.845,3.013,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,2.701,1.174,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,4.123,2.799,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,5.236,2.077,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,5.03,2.071,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,3.788,2.038,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,4.291,1.679,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,7.404,1.679,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,3.36,2.115,1.331,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.835,1.462,1.165,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.537,1.958,1.511,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.523,1.562,0.967,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.172,2.387,1.796,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.379,1.461,0.632,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.713,2.581,1.794,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.9,1.43,1.076,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.403,1.814,1.369,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,4.8,4.089,3.483,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.492,2.846,2.32,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.483,2.784,2.225,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.54,1.544,0.939,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.837,2.03,1.453,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.8,1.808,1.167,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.751,2.818,2.117,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.074,1.958,1.247,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.603,2.168,1.806,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.71,2.385,2.099,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.78,2.042,1.5,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,6.108,2.486,1.012,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,4.616,2.41,1.258,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.445,1.692,1.171,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.479,1.566,0.705,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.112,2.168,1.51,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.512,2.154,1.847,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.523,1.745,1.207,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.863,1.985,1.376,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.67,1.978,1.465,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.4,1.783,0.935,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.613,1.849,1.308,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.657,2.356,1.518,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.415,1.849,1.416,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,4.723,2.753,1.605,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.407,1.472,0.636,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.684,1.722,1.105,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.132,1.923,1.181,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.649,1.872,0.96,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.414,1.769,1.296,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.077,2.156,1.511,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.117,1.759,0.993,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.96,2.08,1.462,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.845,2.512,1.641,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.386,1.462,0.896,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.185,2.15,1.451,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.88,1.486,0.767,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.978,1.578,1.259,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.203,1.615,1.184,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,4.481,2.402,1.288,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.944,2.044,1.419,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.189,1.686,1.299,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.355,1.401,0.833,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.187,1.57,1.127,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.117,1.759,0.993,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.54,1.923,1.456,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.354,2.515,1.886,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.62,1.946,1.445,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.751,2.395,1.529,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.557,2.236,1.955,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.878,1.374,1.005,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.944,2.202,1.647,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.586,1.303,1.07,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.416,2.339,1.602,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.941,1.72,1.524,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.8,2.231,1.778,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.649,1.769,1.181,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.72,2.068,1.572,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.272,1.633,1.174,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.364,2.332,1.617,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.623,2.077,1.191,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.54,1.598,1.005,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.168,2.281,1.642,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.728,1.686,1.042,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.645,1.88,0.97,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.824,1.846,1.207,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.34,2.164,2.001,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.945,2.028,1.397,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.959,2.542,2.184,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.415,1.769,1.296,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.978,1.548,1.211,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.908,2.34,1.883,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.549,1.522,0.909,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.7,1.597,0.689,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.009,1.867,1.158,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.308,1.846,1.476,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.043,2.283,1.713,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.667,2.013,1.519,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.355,2,1.699,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.715,1.991,1.067,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.117,2,1.283,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.941,1.617,1.347,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.971,2.798,1.971,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.188,1.553,1.102,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.096,2.308,1.721,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.343,1.692,1.222,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.112,1.672,1.324,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.146,1.923,1.723,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,4.054,2.556,1.612,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.788,2.248,1.813,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.546,2.669,2.009,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.309,2.007,1.217,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.048,1.385,0.937,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.53,2.573,1.875,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.396,1.686,1.186,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,4.822,2.448,1.243,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.676,2.077,1.612,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.185,2.258,1.601,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.691,1.993,1.476,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.392,2.457,1.78,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.247,1.994,1.769,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.837,2.231,1.754,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.004,2.3,1.761,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.158,1.958,1.214,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,4.46,2.673,1.602,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.24,1.506,1.013,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.36,1.716,1.248,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.477,1.82,1.337,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.883,2.385,1.973,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.652,2.032,1.557,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.62,1.662,1.054,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.837,2.077,1.521,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.944,2.079,1.468,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.481,1.858,1.391,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.512,1.894,1.428,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.561,1.508,0.888,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.355,1.703,1.232,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.178,1.623,1.209,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.477,1.949,1.534,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.632,1.308,1.048,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.111,1.923,1.189,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.475,2.385,1.637,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.821,2.329,1.923,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.732,2.384,2.08,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.485,2.176,1.905,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,4.485,3.133,2.189,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.469,1.966,1.114,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.333,2.141,1.375,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.679,1.964,1.44,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.354,2.37,1.675,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,11.2714285714286,0.25,0.25,NA,"Line","PE",1,0,1
"Center North Atlantic Gyre",29,13.6238095238095,0.25,0.25,NA,"Line","PE",1,0,1
"Center North Atlantic Gyre",29,1.941,1.462,1.101,NA,"Fragment","PP",0,0,0
"Center North Atlantic Gyre",29,1.849,1.583,1.355,NA,"Fragment","PP",0,0,0
"Center North Atlantic Gyre",29,3.101,2.462,1.955,NA,"Fragment","PP",0,0,0
"Center North Atlantic Gyre",29,4.149,2.743,1.813,NA,"Fragment","PP",0,0,0
"Center North Atlantic Gyre",29,4.203,2.637,1.654,NA,"Fragment","PP",0,0,0
"Center North Atlantic Gyre",29,3.605,2.092,1.214,NA,"Fragment","PP",0,0,0
"Center North Atlantic Gyre",29,3.9,1.679,0.723,NA,"Fragment","PP",0,0,0
"Center North Atlantic Gyre",29,4.928,2.154,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,4.653,2.764,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,3.407,2.142,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,2.409,1.942,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,5.527,2.804,0.009,NA,"Film",NA,1,1,0
"Center North Atlantic Gyre",29,2.641,1.796,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,2.511,1.942,0.009,NA,"Film","PP",1,1,0
"Center North Atlantic Gyre",29,2.362,1.963,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,3.441,1.009,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,1.948,1.204,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,5.931,1.479,0.009,NA,"Film","PP",1,1,0
"Center North Atlantic Gyre",29,7.723,1.796,0.009,NA,"Film",NA,1,1,0
"Center North Atlantic Gyre",29,2.395,1.796,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,3.218,2.042,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,2.813,1.578,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,1.973,1.69,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,2.029,1.691,1.409,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.758,1.479,1.244,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.796,1.373,1.05,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.939,1.45,1.084,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.353,1.114,0.917,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.848,1.418,1.088,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.486,1.268,0.647,NA,"Fragment","PP",0,0,0
"Center North Atlantic Gyre",29,2.04,1.326,0.862,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.89,1.479,1.157,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,3.751,1.702,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,1.993,1.649,1.364,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.796,1.268,0.895,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.948,1.276,0.836,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.126,1.326,0.827,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.178,1.403,0.904,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.948,1.472,1.112,NA,"Fragment","PP",0,0,0
"Center North Atlantic Gyre",29,1.437,1.268,1.119,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.805,1.268,0.891,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.948,1.585,1.29,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.848,1.585,1.359,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.799,1.585,1.396,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.612,1.268,0.997,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.464,1.585,1.02,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.579,1.658,1.066,NA,"Fragment","PP",0,0,0
"Center North Atlantic Gyre",29,1.993,1.665,1.391,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.56,1.056,0.715,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.275,2.007,1.771,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.585,1.373,1.189,NA,"Fragment","PP",0,0,0
"Center North Atlantic Gyre",29,1.468,1.268,1.095,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.167,1.41,0.917,NA,"Fragment",NA,0,0,0
"Center North Atlantic Gyre",29,3.674,1.963,1.049,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.198,1.796,1.468,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.609,1.256,0.98,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.742,1.268,0.923,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.904,1.479,1.149,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.848,1.319,0.941,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.749,1.27,0.922,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.523,1.12,0.824,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.201,1.027,0.878,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.873,1.334,0.95,NA,"Fragment","PP",0,0,0
"Center North Atlantic Gyre",29,1.469,1.303,1.156,NA,"Fragment","PP",0,0,0
"Center North Atlantic Gyre",29,1.711,1.047,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",29,1.55,1.204,0.935,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,2.019,1.363,0.92,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.618,1.022,0.646,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.873,1.323,0.935,NA,"Fragment","PP",0,0,0
"Center North Atlantic Gyre",29,1.495,1.015,0.689,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.369,0.953,0.663,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.16,0.931,0.747,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.84,1.156,0.726,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.719,1.403,1.145,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",29,1.662,1.253,0.945,NA,"Fragment","PP",0,0,0
"Center North Atlantic Gyre",29,2.339,1.485,0.943,NA,"Fragment",NA,0,0,0
